房子名称,房子价格,房子地段,房子简介
留仙洞地铁口菁英家园 精装两房 家电齐全 拎包即住,5800, 西丽,2室2厅2卫 73.00㎡ 南向 精装修 
星海名城(二期)南向精装大三房 安静 地铁一号线,9000, 前海,3室2厅3卫 110㎡ 南向 精装修 
真房源 保真 润恒尚园 精装四房全齐出租。。。,8000, 西乡,3室2厅3卫 115㎡ 南向 精装修 
碧海红树园4房2厅西南向高层看红树林海景拎包入住,15000, 车公庙,4室2厅4卫 156.88㎡ 南向 精装修 
信义逸翠园，3房全齐出租，近百外春雷，周边配套成熟,5800, 信义,3室2厅3卫 105.00㎡ 南向 精装修 
正地铁口小区，带空中花园泳池，采光充足，业主诚心出租！,3500, 翻身路,1室2厅1卫 44.04㎡ 东北向 精装修 
宝安广兴源圣拿威四房户型.方正实用.中间楼层空气好.景观好,11200, 坪洲,4室2厅4卫 128㎡ 南北向 豪华装修 
富通城三期温馨雅居，交通便利采光好，业主急出租,4600, 西乡,2室1厅2卫 57.10㎡ 南向 精装修 
横岗荣德国际横岗地铁站C出口100米复试三房,4299, 横岗,3室1厅3卫 58㎡ 东南向 精装修 
"南天一花园,精装复式大2房南北通拎包可住,居住舒适直接入住",7500, 百花,2室2厅2卫 87㎡ 南向 精装修 
皇御苑 实拍（温馨情侣一房）新家私，初次出租！,4000, 赤尾,1室1厅1卫 48.00㎡ 南向 精装修 
民治大道万众城展滔科技大厦 花园小区华侨新苑精装两房拎包入住,3500, 万众城,2室2厅2卫 55㎡ 东北向 精装修 
房东自家房管理到位1号线坪洲地铁站a出口华侨新村高楼层好彩光,3600, 坪洲,3室1厅3卫 85㎡ 东南向 简单装修 
1..园岭新村两房，交通便利，周边配套设施完善,5100, 园岭,2室2厅2卫 82㎡ 南向 豪华装修 
锦绣东方 精装四房 家私电齐全 拎包入住 花园中间位置 宜居,4600, 龙岗中心城,4室2厅4卫 115㎡ 南向 精装修 
香蜜湖（19年新小区，天健公馆）豪华装三房，诚心出租。,17000, 农科中心,3室2厅3卫 110.00㎡ 南向 豪华装修 
带水库小学出租，5300不高，通风采光很好（有钥匙看房）,5300, 水库,3室1厅3卫 86㎡ 东向 精装修 
梅林一村十二区安静四房两卫    全齐出租,8800, 下梅林,4室1厅4卫 118.0㎡ 东北向 简单装修 
龙华地铁口精装居家2房，南朝向高楼层，家私全齐，拎包入住。,4800, 龙华,2室2厅2卫 57.88㎡ 南北向 精装修 
特价精装一房一厅，押一付一，家私齐全，拎包入住，专人管理,1200, 美丽365花园,1室1厅1卫 30㎡ 东南向 精装修 
幸福城 靓房直租 清湖地铁站旁 业主诚意出租,12000, 清湖,5室2厅5卫 160㎡ 南北向 精装修 
精装4房 全新装修 南北通透采光好 价格较同户型便宜,4300, 盐田,4室2厅4卫 77㎡ 北向 精装修 
皇岗 皇御苑 廊桥国际 精装大两房 婚房 保养好 楼下地铁,8800, 皇岗,2室2厅2卫 84㎡ 东北向 精装修 
青年城邦 靓房直租 靠近龙华地铁站 华润万家,4800, 龙华,2室1厅2卫 59㎡ 南向 精装修 
百花园 长乐 长安 百花公寓，格局合理，居住舒适,13000, 百花,4室2厅4卫 133㎡ 南向 精装修 
精装修两房才3300空房出租装修很好,3300, 平湖,2室2厅2卫 60.00㎡ 南向 精装修 
大社区 交通方便 小区环境好 绿化多,6500, 领航城,3室2厅3卫 88㎡ 南向 精装修 
福田中心区，CBD旁，港丽豪园，豪华全齐正南向大2房，出租。,10300, 福田中心区,2室1厅2卫 110.00㎡ 南向 精装修 
大阳台 精装单间 很漂亮 家电家私都有 拎包入住 随时看哦,1150, 大浪,1室1卫 20㎡ 南北向 精装修 
凤凰新村超大豪华四房  拎包入住 急租6000 随时看房,6000, 平湖,4室2厅4卫 168.00㎡ 南北向 精装修 
莲花二村 两房 家私齐全 拎包入住,6300, 莲花村,2室2厅2卫 65㎡ 南向 简单装修 
中海怡美山庄 精装修3房住家安静舒适拎包入住,3900, 横岗,3室2厅3卫 76㎡ 北向 精装修 
金地梅陇镇，大4房长租房源，拎包入住，随时看房,8500, 民治,4室2厅4卫 130㎡ 南北向 精装修 
特价房 高坳新村 保利悦都 精装一房一厅 家电齐全 独立厨卫,1680, 龙华,1室1厅1卫 36.00㎡ 东南向 精装修 
万科十七英里齤閏平复式精装修家电家私齐全拎包入住,6000, 葵涌,2室2厅2卫 93.94㎡ 南向 豪华装修 
万科直推保养非常好，白石龙地铁公园100米。看房方便,7500, 龙华,3室2厅3卫 85㎡ 东南向 精装修 
.盛世鹏程业主诚心出租,13000, 上步,3室2厅3卫 117㎡ 西南向 精装修 
靠山美景，轻奢两房，装修保养好，拎包入住，房源有效，视频真实,3900, 沙头角,2室1厅2卫 51㎡ 南向 精装修 
中海一房1900便宜出租 厅出阳台户型方正 面朝花园安静舒适,1900, 大运,1室1厅1卫 48㎡ 东北向 精装修 
新上 冠铭花园 精装3房   拎包入住 可以预约看房,6500, 西丽,3室2厅3卫 90㎡ 南向 精装修 
